tick,attacker_name,victim_name,weapon,distance_3d,is_duel_by_radius
5109,NertZ,BELCHONOKK,usp_silencer,32.84439792394351,True
5118,Patsi,NertZ,glock,258.4820184454658,True
5187,TeSeS,Patsi,usp_silencer,219.40643164502671,True
6081,ArtFr0st,sjuush,glock,945.9533347859508,False
6370,kyxsan,ArtFr0st,usp_silencer,897.3446599754412,True
6417,Qikert,kyxsan,glock,641.5631673877709,True
6532,TeSeS,Qikert,usp_silencer,430.1626655138824,True
6744, alpha, degster,glock,542.6343342585812,True
8768,TeSeS, alpha,usp_silencer,613.5679304381882,True
12043,TeSeS,BELCHONOKK,mp9,326.28261223864416,True
12148,kyxsan, alpha,mp9,396.28439467884544,True
12253,ArtFr0st,Qikert,glock,70.22240730997902,True
12257,TeSeS,Patsi,mp9,262.40232662236195,True
12335,NertZ,ArtFr0st,mp9,792.5366961595245,True
18800,kyxsan,ArtFr0st,mp9,407.6877095602124,True
19018,Qikert,NertZ,ak47,481.0680194119697,True
23127,sjuush,Patsi,mp9,1125.160983941833,False
23145,sjuush,Qikert,mp9,595.9444066014065,True
23274, degster,BELCHONOKK,mp9,924.7865323261564,False
23683,kyxsan, alpha,mp9,218.7292188697773,True
28473,NertZ,Patsi,ak47,1337.0048128945268,False
28517,BELCHONOKK,NertZ,deagle,486.6840926823808,True
28704, degster,BELCHONOKK,ak47,443.15618439146147,True
28736, degster, alpha,ak47,502.41325370380866,True
28819,Qikert, degster,p250,501.1762558894428,True
31314,TeSeS,ArtFr0st,ak47,691.8995126180025,True
31481,sjuush,Qikert,ak47,1414.230710436185,False
34095,NertZ, alpha,ak47,255.98943684773977,True
34265,BELCHONOKK,sjuush,ak47,626.5736869470829,True
37313,Patsi,TeSeS,ak47,339.117927362321,True
45159,TeSeS, alpha,m4a1,88.86789179579971,True
45252,kyxsan,Qikert,m4a1_silencer,1045.391970589529,False
45441,BELCHONOKK,kyxsan,ak47,577.2649035655274,True
45542,Patsi,TeSeS,ak47,512.0524855736836,True
45545,NertZ,BELCHONOKK,ak47,853.1333610517189,True
45633,Patsi,NertZ,ak47,722.1986094610412,True
45966,Patsi,sjuush,ak47,473.112209062776,True
49190,ArtFr0st, degster,awp,841.339876023171,True
53704,sjuush,BELCHONOKK,m4a1_silencer,744.3968652885669,True
53740,Qikert,sjuush,ak47,745.202083709422,True
53793,NertZ, alpha,m4a1,414.387342376533,True
54009,ArtFr0st,kyxsan,awp,1551.9289523744235,False
57036,Patsi,TeSeS,ak47,780.4451271559905,True
57378, degster,ArtFr0st,awp,614.4809811013149,True
57398,NertZ,Patsi,m4a1,361.17093014610145,True
58468,Qikert,NertZ,awp,782.3874372394473,True
64283,TeSeS,Qikert,mp9,81.83926965492635,True
65055,TeSeS, alpha,mp9,248.09916669498216,True
65101,sjuush,Patsi,m4a1,785.011849972761,True
65170,BELCHONOKK,sjuush,galilar,915.0242304633268,False
66850,BELCHONOKK,NertZ,galilar,695.8494791420851,True
66993,TeSeS,BELCHONOKK,m4a1,865.2862822908288,True
76833,Qikert,NertZ,ak47,456.68674551528295,True
78029,Patsi,kyxsan,awp,901.536724950929,False
78566,BELCHONOKK,TeSeS,ak47,434.947084259442,True
87971,Qikert,sjuush,ak47,862.0177939957748,True
88308,BELCHONOKK, degster,ak47,528.3368744364101,True
88821,BELCHONOKK,NertZ,ak47,502.83875161889614,True
89019,TeSeS, alpha,mp9,311.7575342577438,True
89759,Patsi,kyxsan,ak47,422.6974108168069,True
89874,BELCHONOKK,TeSeS,ak47,658.1543817502233,True
94622, alpha,kyxsan,ak47,596.7307714327268,True
94679,TeSeS,Patsi,usp_silencer,951.8169482490368,False
94731,ArtFr0st,sjuush,awp,1325.5673874337106,False
94856, alpha,TeSeS,ak47,558.5541846526517,True
94863,ArtFr0st,NertZ,awp,1062.7674434553712,False
94885, degster, alpha,p250,633.5718011072985,True
95072,BELCHONOKK, degster,ak47,605.9050621693874,True
98592,sjuush,Patsi,m4a1,509.9257281236872,True
98671,BELCHONOKK,sjuush,ak47,504.6420769951304,True
99164,BELCHONOKK, degster,ak47,802.9936118889975,True
99788,NertZ,BELCHONOKK,m4a1_silencer,336.7675268962163,True
99893,ArtFr0st,kyxsan,awp,1346.2506264427627,False
100021,ArtFr0st,NertZ,awp,678.2944974613224,True
101477,ArtFr0st,TeSeS,awp,795.7675477053768,True
108925,NertZ, degster,glock,99.56945391057408,True
108998,NertZ,Patsi,glock,213.2554825765423,True
109040,Qikert,NertZ,elite,318.7227207494541,True
109077,Qikert,sjuush,elite,404.4335205411548,True
109687,TeSeS,ArtFr0st,glock,457.69920215763113,True
110051,Qikert,TeSeS,elite,269.48291840108203,True
111780,BELCHONOKK,kyxsan,usp_silencer,1431.3789532762746,False
114719,Patsi,kyxsan,m4a1_silencer,518.022175129447,True
115046,Patsi,sjuush,m4a1_silencer,426.7733042529819,True
115190,NertZ,Patsi,tec9,432.8281269285512,True
115382,BELCHONOKK, degster,mp9,535.4621118464187,True
115396,TeSeS,BELCHONOKK,tec9,612.4741274199786,True
115441,TeSeS,Qikert,tec9,561.2617896740483,True
116107,TeSeS, alpha,m4a1_silencer,985.222018912779,False
116323,NertZ,ArtFr0st,m4a1_silencer,876.9426248233414,True
123998, degster, alpha,ak47,702.3704947023142,True
123998, degster,ArtFr0st,ak47,902.8299354732488,False
124024,NertZ,Qikert,ak47,1440.0340495689788,False
124043, degster,BELCHONOKK,ak47,1194.7999029077785,False
124174,NertZ,Patsi,ak47,1195.860432686459,False
127525,sjuush,BELCHONOKK,m4a1_silencer,1007.7044077635328,False
130124,TeSeS, alpha,mac10,601.1531172095978,True
130372,kyxsan,Qikert,m4a1_silencer,138.09638720871135,True
131303,ArtFr0st,TeSeS,awp,272.0444854308222,True
132509,sjuush,Patsi,m4a1_silencer,983.076338252772,False
132698,NertZ,ArtFr0st,ak47,229.48536037576005,True
137824,sjuush,Qikert,m4a1_silencer,379.19215465424446,True
138193,TeSeS, alpha,ak47,321.2202574446522,True
140395,NertZ,ArtFr0st,ak47,443.39969858402935,True
140403,TeSeS,Patsi,ak47,1165.9382263481796,False
140454,NertZ,BELCHONOKK,ak47,465.6185973883032,True
143118,ArtFr0st,TeSeS,awp,936.9756596520084,False
144089,sjuush, alpha,ak47,897.9616273655915,True
145348,NertZ,Patsi,ak47,682.6844840515314,True
145378,Qikert,NertZ,m4a1_silencer,802.6972395537009,True
145635,kyxsan,BELCHONOKK,m4a1_silencer,504.76620195447725,True
146331,Qikert,kyxsan,m4a1_silencer,622.1863460695241,True
148971,Patsi,NertZ,m4a1_silencer,636.1531995102065,True
149227,kyxsan,BELCHONOKK,ak47,313.35808398314947,True
149679,Qikert,TeSeS,m4a1_silencer,631.4896987404178,True
150302,Qikert, degster,m4a1_silencer,637.7213336905986,True
151953,Qikert,kyxsan,m4a1_silencer,338.16277943647464,True
152567,Patsi,sjuush,m4a1_silencer,645.1463209619166,True
157724,NertZ,Patsi,ak47,766.3706319383102,True
158045,BELCHONOKK, degster,m4a1_silencer,780.7379901342497,True
158104,NertZ,BELCHONOKK,ak47,602.0402530819911,True
158320,kyxsan, alpha,ak47,145.61286831993846,True
159176,kyxsan,Qikert,ak47,415.3733714853759,True
159392,ArtFr0st,NertZ,awp,742.5160007484611,True
160555,kyxsan,ArtFr0st,ak47,436.87421091069353,True
165124,NertZ,Patsi,ak47,1130.195437486646,False
167824,sjuush,Qikert,ak47,307.00544273308424,True
167854,BELCHONOKK,TeSeS,m4a1_silencer,749.5188042271536,True
167913,sjuush, alpha,ak47,459.7247014644624,True
168211,sjuush,BELCHONOKK,m4a1_silencer,326.24905786517695,True
168401,NertZ,ArtFr0st,ak47,1331.1896775903715,False
